,titleId,title,region,startYear,runtimeMinutes,genres,averageRating,directors,writers
1593,tt0012696,Rosanne Ozanne,US,1920,50,Drama,6.0,nm0286379,"nm0640437,nm0830868"
1594,tt0012699,The Sky Pilot,US,1921,77,Drama,6.1,nm0896542,"nm0175451,nm0337838,nm0002209"
1595,tt0012701,A Small Town Idol,US,1921,70,"Action,Comedy,Romance",6.4,"nm0448915,nm0784407","nm0340599,nm0341586,nm0784407,nm0869999,nm0907279"
1596,tt0012701,A Small Town Hero,US,1921,70,"Action,Comedy,Romance",6.4,"nm0448915,nm0784407","nm0340599,nm0341586,nm0784407,nm0869999,nm0907279"
1597,tt0012701,Broadway Brevities (1938-1939 season) (#19): A Small Town Idol,US,1921,70,"Action,Comedy,Romance",6.4,"nm0448915,nm0784407","nm0340599,nm0341586,nm0784407,nm0869999,nm0907279"
1598,tt0012716,Sowing the Wind,US,1921,90,Drama,6.0,nm0821472,"nm0344581,nm0355582"
1599,tt0012725,The Sting of the Lash,US,1921,60,Drama,5.0,nm0454771,"nm0309567,nm0824274"
1600,tt0012728,Straight Is the Way,US,1921,70,Comedy,7.4,nm0897085,"nm0547966,nm0612584"
1601,tt0012730,Stranger Than Fiction,US,1921,0,"Action,Drama",5.8,nm0058022,"nm0494673,nm0725021,nm0817809"
1602,tt0012734,Sure Fire,US,1921,50,Western,4.5,nm0000406,"nm0401429,nm0722425"
1603,tt0012739,Sands of Sacrifice,US,1921,56,"Action,Adventure,Crime",4.7,nm0058792,nm0058792
1604,tt0012739,Tangled Trails,US,1921,56,"Action,Adventure,Crime",4.7,nm0058792,nm0058792
1605,tt0012740,Daughter of the Night,US,1920,50,Drama,5.6,nm0251456,nm0856602
1606,tt0012745,La Terre,US,1921,97,Drama,6.7,nm0031134,"nm0031134,nm0957652"
1607,tt0012745,Earth,US,1921,97,Drama,6.7,nm0031134,"nm0031134,nm0957652"
1608,tt0012746,Terror Trail,US,1921,360,"Action,Adventure",1.0,nm0474631,"nm0340599,nm0474631,nm0687741"
1609,tt0012747,That Girl Montana,US,1921,68,Western,6.5,nm0861336,"nm0687741,nm0752688"
1610,tt0012752,The Three Musketeers,US,1921,119,"Action,Adventure,Family",6.9,nm0629243,"nm0241416,nm0461241,nm0940689,nm0001196"
1611,tt0012754,Three Word Brand,US,1921,82,Western,6.8,nm0385171,"nm0385171,nm0721996"
